time_from_start,base_x,base_y,base_theta,shoulder_pan_joint,shoulder_lift_joint,arm_elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
4.6899999999999995,0.429698476063739,1.4338014308416929,-0.24373340355603726,-0.2946571521102692,-1.5126166781771162,-1.5200888249649225,-0.8241194840016592,0.38400677085147017,3.10464548479894
4.7,0.42931004225908864,1.4333051102645387,-0.24405761982236085,-0.2948498592300348,-1.5127526131122602,-1.5202914737575712,-0.8244719446478512,0.3843785043898301,3.104672737191712
4.71,0.42891847794708066,1.432804789687385,-0.24438444904717332,-0.29504411943567777,-1.5128896435888055,-1.5204957557590932,-0.824827245882666,0.38475323384297144,3.1047002092198888
4.72,0.4285237831277149,1.432300469110231,-0.24471389123047474,-0.2952399327271983,-1.5130277696067522,-1.5207016709694885,-0.8251853877061037,0.38513095921089435,3.1047279008834705
4.73,0.4281259578009913,1.431792148533077,-0.245045946372265,-0.2954372991045962,-1.5131669911660999,-1.5209092193887568,-0.8255463701181641,0.3855116804935985,3.104755812182457
4.74,0.42772500196690977,1.431279827955923,-0.24538061447254425,-0.2956362185678716,-1.5133073082668491,-1.5211184010168985,-0.8259101931188477,0.3858953976910844,3.10478394311685
4.75,0.4273209156254706,1.430763507378769,-0.24571789553131237,-0.2958366911170244,-1.5134487209089995,-1.5213292158539136,-0.8262768567081541,0.3862821108033516,3.1048122936866474
4.76,0.4269136987766736,1.430243186801615,-0.24605778954856944,-0.29603871675205473,-1.5135912290925515,-1.5215416638998018,-0.8266463608860835,0.38667181983040033,3.1048408638918508
4.77,0.42650335142051876,1.429718866224461,-0.24640029652431544,-0.29624229547296244,-1.5137348328175044,-1.5217557451545634,-0.8270187056526356,0.3870645247722305,3.1048696537324583
4.78,0.4260898735570062,1.429190545647307,-0.24674541645855025,-0.29644742727974754,-1.5138795320838585,-1.5219714596181981,-0.8273938910078106,0.38746022562884214,3.1048986632084716
4.79,0.4256732651861359,1.4286582250701532,-0.24709314935127402,-0.2966541121724101,-1.5140253268916142,-1.5221888072907062,-0.8277719169516085,0.3878589224002352,3.10492789231989
4.8,0.4252535263079078,1.4281219044929994,-0.24744349520248665,-0.29686235015095014,-1.514172217240771,-1.5224077881720874,-0.8281527834840293,0.38826061508640974,3.104957341066714
